pop,FV3,ind,nacl,mass_g,svl,stage,viralload,nutrient,value,HazardRatio,scalenutrient
RRD,RV,79,0,0.1493,9.35,32,530709.566,NH4,2.61680849,25.5113192,1.32400743
RRD,RV,79,0,0.1493,9.35,32,530709.566,NP,5.47406488,25.5113192,0.123919439
RRD,RV,79,0,0.1493,9.35,32,530709.566,SRP,0.478037536,25.5113192,0.524439511
RRD,RV,95,250,0.1386,9,31,7085.016236,NH4,2.470570907,25.5113192,1.086179704
RRD,RV,95,250,0.1386,9,31,7085.016236,NP,5.500862274,25.5113192,0.141018095
RRD,RV,95,250,0.1386,9,31,7085.016236,SRP,0.449124298,25.5113192,0.391849236
RRD,RV,92,250,0.0953,7.37,31,30985.45074,NH4,2.095699894,25.5113192,0.476523013
RRD,RV,92,250,0.0953,7.37,31,30985.45074,NP,5.700348905,25.5113192,0.268304845
RRD,RV,92,250,0.0953,7.37,31,30985.45074,SRP,0.367644144,25.5113192,0.018197697
RRD,RV,110,500,0.1713,10.3,35,14467.29621,NH4,1.718195618,25.5113192,-0.13741618
RRD,RV,110,500,0.1713,10.3,35,14467.29621,NP,6.444826199,25.5113192,0.74333465
RRD,RV,110,500,0.1713,10.3,35,14467.29621,SRP,0.266600769,25.5113192,-0.445166827
RRD,RV,94,250,0.1662,10.14,32,11325.10327,NH4,1.939288681,25.5113192,0.222149804
RRD,RV,94,250,0.1662,10.14,32,11325.10327,NP,5.238870265,25.5113192,-0.026151561
RRD,RV,94,250,0.1662,10.14,32,11325.10327,SRP,0.370173068,25.5113192,0.029794834
RRD,RV,125,750,0.1769,10.12,35,3877.684381,NH4,0.99399242,25.5113192,-1.315195494
RRD,RV,125,750,0.1769,10.12,35,3877.684381,NP,3.085930545,25.5113192,-1.399881214
RRD,RV,125,750,0.1769,10.12,35,3877.684381,SRP,0.322104599,25.5113192,-0.190637465
RRD,RV,109,500,0.142,9.52,32,701.3779292,NH4,1.439535141,25.5113192,-0.590604659
RRD,RV,109,500,0.142,9.52,32,701.3779292,NP,3.819289359,25.5113192,-0.931945795
RRD,RV,109,500,0.142,9.52,32,701.3779292,SRP,0.376911777,25.5113192,0.060697193
RRD,RV,76,0,0.1925,10.02,32,29874.13302,NH4,2.887614598,25.5113192,1.764422266
RRD,RV,76,0,0.1925,10.02,32,29874.13302,NP,6.151700283,25.5113192,0.556299333
RRD,RV,76,0,0.1925,10.02,32,29874.13302,SRP,0.469401054,25.5113192,0.484834347
RRD,RV,137,1000,0.2185,10.38,35,13228.60834,NH4,0.853460343,25.5113192,-1.543744296
RRD,RV,137,1000,0.2185,10.38,35,13228.60834,NP,4.571541019,25.5113192,-0.451955389
RRD,RV,137,1000,0.2185,10.38,35,13228.60834,SRP,0.186689858,25.5113192,-0.811622133
RRD,RV,124,750,0.1307,9.21,34,72.17955039,NH4,1.539352971,25.5113192,-0.428269867
RRD,RV,124,750,0.1307,9.21,34,72.17955039,NP,3.914706868,25.5113192,-0.871062594
RRD,RV,124,750,0.1307,9.21,34,72.17955039,SRP,0.393223049,25.5113192,0.135497392
RRD,RV,91,250,0.1921,10.04,34,862591.6758,NH4,1.978314738,25.5113192,0.285618294
RRD,RV,91,250,0.1921,10.04,34,862591.6758,NP,5.583436626,25.5113192,0.193706442
RRD,RV,91,250,0.1921,10.04,34,862591.6758,SRP,0.354318473,25.5113192,-0.042911141
RRD,RV,122,750,0.1436,9.36,33,4972.569025,NH4,1.312870433,25.5113192,-0.796600812
RRD,RV,122,750,0.1436,9.36,33,4972.569025,NP,2.670031541,25.5113192,-1.66525455
RRD,RV,122,750,0.1436,9.36,33,4972.569025,SRP,0.491705964,25.5113192,0.587120161
RRG,CTRL,75,1000,0.136,9.24,31,2594.798586,NH4,1.616261494,10.87194475,-0.303192723
RRG,CTRL,75,1000,0.136,9.24,31,2594.798586,NP,3.112000855,10.87194475,-1.38324649
RRG,CTRL,75,1000,0.136,9.24,31,2594.798586,SRP,0.51936409,10.87194475,0.713954746
RRG,CTRL,29,250,0.1611,9.73,34,1815.541866,NH4,1.326763582,10.87194475,-0.774006236
RRG,CTRL,29,250,0.1611,9.73,34,1815.541866,NP,4.157086186,10.87194475,-0.71640724
RRG,CTRL,29,250,0.1611,9.73,34,1815.541866,SRP,0.319157103,10.87194475,-0.204154088
RRG,CTRL,14,0,0.1183,10.5,34,0,NH4,1.982619588,10.87194475,0.292619316
RRG,CTRL,14,0,0.1183,10.5,34,0,NP,7.574057909,10.87194475,1.463865313
RRG,CTRL,14,0,0.1183,10.5,34,0,SRP,0.261764514,10.87194475,-0.467344914
RRG,CTRL,45,500,0,NA,NA,NA,NH4,NA,10.87194475,NA
RRG,CTRL,45,500,0,NA,NA,NA,NP,NA,10.87194475,NA
RRG,CTRL,45,500,0,NA,NA,NA,SRP,NA,10.87194475,NA
RRG,CTRL,30,250,0.1573,10.06,39,0,NH4,0.556845011,10.87194475,-2.026132946
RRG,CTRL,30,250,0.1573,10.06,39,0,NP,3.280188119,10.87194475,-1.275930976
RRG,CTRL,30,250,0.1573,10.06,39,0,SRP,0.169760084,10.87194475,-0.889258658
