nacl,NH4_ugL,SRP_ugL,mass_g,ind,pop,FV3,SVL_mm
500,119.531,50.136,0.1864,35,SEWC,RV,9.79
500,150.935,74.209,0.2139,36,RRG,RV,10.77
500,102.336,49.439,0.1487,37,RRG,RV,9.65
500,92.059,29.604,0.1248,38,RRG,RV,9.61
500,126.561,60.457,0.1474,39,RRG,RV,9.46
500,67.136,45.094,0.1332,40,RRG,RV,9.66
500,56.326,36.267,0.2043,41,SEWC,CTRL,9.82
500,114.848,42.491,0.3031,42,SEWC,CTRL,11.44
500,61.485,32.279,0.2341,43,SEWC,CTRL,10.5
500,85.241,42.733,0.1584,44,RRG,CTRL,9.95
500,,,0,45,RRG,CTRL,
750,31.985,35.392,0.2061,46,SEWC,RV,10.67
750,118.533,75.905,0.2583,47,SEWC,RV,11.13
750,46.26,30.072,0.1409,48,SEWC,RV,9.54
750,90.684,68.038,0.1661,49,SEWC,RV,9.66
750,132.299,67.911,0.2371,50,SEWC,RV,10.49
750,91.588,55.673,0.1658,51,RRG,RV,9.85
750,135.512,57.869,0.1441,52,RRG,RV,9.47
750,142.975,70.312,0.1794,53,RRG,RV,10.38
750,115.508,66.154,0.1783,54,RRG,RV,10.69
750,161.192,66.188,0.1926,55,RRG,RV,10.16
750,62.536,49.557,0.1475,56,SEWC,CTRL,8.87
750,107.916,75.097,0.2375,57,SEWC,CTRL,10.86
750,65.17,42.762,0.3104,58,SEWC,CTRL,11.73
750,96.499,52.364,0.1946,59,RRG,CTRL,9.83
750,130.075,55.347,0.195,60,RRG,CTRL,10.01
1000,104.967,61.135,0.1541,61,SEWC,RV,9.32
1000,88.581,27.072,0.176,62,SEWC,RV,9.85
1000,92.376,39.903,0.1671,63,SEWC,RV,9.76
1000,116.866,45.035,0.1863,64,SEWC,RV,10.16
1000,59.787,19.187,0.1442,65,SEWC,RV,9.02
1000,158.647,63.782,0.1752,66,RRG,RV,10.28
1000,98.437,29.093,0.2094,67,RRG,RV,10.67
1000,113.545,58.699,0.1474,68,RRG,RV,9.38
1000,140.933,63.322,0.1359,69,RRG,RV,9.36
1000,136.193,59.422,0.1648,70,RRG,RV,9.58
1000,173.595,46.571,0.2518,71,SEWC,CTRL,10.71
1000,82.201,33.03,0.215,72,SEWC,CTRL,10.37
1000,142.324,69.941,0.2361,73,SEWC,CTRL,10.43
1000,125.838,36.53,0.2189,74,RRG,CTRL,10.98
1000,76.989,54.688,0.136,75,RRG,CTRL,9.24
0,194.692,69.961,0.1925,76,RRD,RV,10.02
0,196.609,76.953,0.1936,77,RRD,RV,9.82
0,206.364,78.518,0.1839,78,RRD,RV,8.93
0,136.839,55.259,0.1493,79,RRD,RV,9.35
0,118.465,41.612,0.1332,80,RRD,RV,9.73
0,226.119,72.143,0.2098,81,SEWG,RV,10.05
0,176.558,514.752,0.2493,82,SEWG,RV,11.07
0,137.795,46.628,0.2274,83,SEWG,RV,10.62
0,168.144,50.035,0.2187,84,SEWG,RV,10.92
0,242.318,75.317,0.2872,85,SEWG,RV,11.06
0,105.749,49.201,0.1676,86,RRD,CTRL,9.8
0,149.295,36.344,0.1916,87,RRD,CTRL,9.55
0,107.766,55.588,0.1596,88,RRD,CTRL,9.95
0,78.131,28.674,0.2321,89,SEWG,CTRL,10.29
0,187.296,48.716,0.2198,90,SEWG,CTRL,10.23
250,133.107,52.699,0.1921,91,RRD,RV,10.04
250,69.952,27.127,0.0953,92,RRD,RV,7.37
250,137.211,58.367,0.1918,93,RRD,RV,10.28
250,112.889,47.634,0.1662,94,RRD,RV,10.14
250,119.933,48.196,0.1386,95,RRD,RV,9
250,127.428,63.582,0.131,96,SEWG,RV,9.37
250,172.534,59.181,0.17,97,SEWG,RV,9.59
250,188.313,63.028,0.2894,98,SEWG,RV,10.61
250,155.68,58.421,0.1673,99,SEWG,RV,9.92
250,224.61,67.944,0.2808,100,SEWG,RV,10.71
250,62.582,28.398,0.0963,101,RRD,CTRL,8.59
250,148.031,68.161,0.1407,102,RRD,CTRL,9.58
250,120.902,42.535,0.1249,103,RRD,CTRL,9.02
250,169.733,44.065,0.3233,104,SEWG,CTRL,11.06
250,206.873,66.982,0.2799,105,SEWG,CTRL,11.55
500,130.263,56.445,0.1573,106,RRD,RV,9.45
500,190.464,54.807,0.2258,107,RRD,RV,10.4
500,90.239,30.289,0.1571,108,RRD,RV,9.36
500,71.596,41.439,0.142,109,RRD,RV,9.52
500,103.088,35.359,0.1713,110,RRD,RV,10.3
500,117.035,53.122,0.1844,111,SEWG,RV,9.62
500,156.667,64.844,0.2059,112,SEWG,RV,10.29
500,126.443,57.673,0.2941,113,SEWG,RV,11.48
500,160.872,72.114,0.2276,114,SEWG,RV,10.7
500,158.174,68.86,0.267,115,SEWG,RV,10.41
500,155.443,31.223,0.1796,116,RRD,CTRL,9.92
500,208.278,55.517,0.2328,117,RRD,CTRL,10.61
500,141.975,42.86,0.1906,118,RRD,CTRL,9.53
500,290.119,95.772,0.277,119,SEWG,CTRL,11.12
500,96.17,33.155,0.1915,120,SEWG,CTRL,10.69
750,125.264,56.878,0.2838,121,RRD,RV,10.93
750,66.032,54.669,0.1436,122,RRD,RV,9.36
750,98.135,56.938,0.1331,123,RRD,RV,9.87
750,70.468,39.792,0.1307,124,RRD,RV,9.21
750,61.587,44.117,0.1769,125,RRD,RV,10.12
750,78.119,43.794,0.1451,126,SEWG,RV,9.36
750,67.067,43.728,0.2126,127,SEWG,RV,10.35
750,188.027,68.619,0.2948,128,SEWG,RV,11.4
750,49.167,57.23,0.2014,129,SEWG,RV,9.96
750,125.258,58.295,0.1774,130,SEWG,RV,9.61
750,70.711,44.169,0.1489,131,RRD,CTRL,9.19
750,125.905,56.341,0.1539,132,RRD,CTRL,9.26
750,249.293,83.842,0.225,133,RRD,CTRL,10.71
750,189.178,76.209,0.2596,134,SEWG,CTRL,10.23
750,249.572,78.762,0.2983,135,SEWG,CTRL,11.64
1000,77.049,38.798,0.1766,136,RRD,RV,9.82
1000,65.315,31.583,0.2185,137,RRD,RV,10.38
1000,75.536,31.593,0.1569,138,RRD,RV,9.46
1000,113.858,36.061,0.2292,139,RRD,RV,10.53
1000,121.818,60.219,0.2334,140,RRD,RV,10.63
1000,105.618,43.166,0.2157,141,SEWG,RV,10.41
1000,112.942,57.629,0.1793,142,SEWG,RV,10.44
1000,121.804,45.328,0.2,143,SEWG,RV,10.87
1000,120.924,42.344,0.15,144,SEWG,RV,9.4
1000,102.042,53.085,0.2634,145,SEWG,RV,10.75
1000,75.905,27.521,0.1498,146,RRD,CTRL,9.88
1000,98.56,30.916,0.1577,147,RRD,CTRL,9.81
1000,138.377,55.173,0.1727,148,RRD,CTRL,9.36
1000,161.319,54.186,0.1513,149,SEWG,CTRL,9.05
1000,184.86,79.908,0.1872,150,SEWG,CTRL,10.03
