ind,pop,NaCl,mass_g,svl_mm,stage,ng/uL ,260/280,260/230,Cq1,Cq2,SQ1,SQ2,
206,RR G,0.5 g/L,0.2229,11.08,36,201.074,1.845,0.932,33.50,33.03,61.74789,89.44875,
207,RR G,0.5 g/L,0.2674,10.79,35,162.256,1.817,0.851,33.23,33.49,76.60456,62.17534,
209,RR G,0.5 g/L,0.2412,9.99,36,230.107,1.824,0.963,33.24,33.82,75.66521,47.81725,
210,RR G,0.5 g/L,0.308,11.89,35,279.309,1.75,0.783,33.65,34.08,54.88537,39.06166,
211,RR G,0.5 g/L,0.2133,10.73,34,182.527,1.863,1.018,26.70,26.62,13363.16136,14142.13803,
212,RR G,0.5 g/L,0.2219,9.61,33,141.42,1.853,0.969,33.80,33.23,48.80192,76.55441,
215,RR G,0.5 g/L,0.2551,10.91,37,180.516,1.836,0.928,19.74,19.88,3269796.66635,2916025.39734,
216,RR G,0.5 g/L,0.2286,10.58,36,1028.583,1.659,0.662,19.14,19.16,5230901.32651,5182117.49869,
217,RR G,0.5 g/L,0.2728,10.64,36,132.676,1.878,1.07,33.80,33.21,48.52227,77.47149,
218,RR G,0.5 g/L,0.1644,9.45,33,112.421,1.943,1.192,15.95,15.81,65028404.59213,72684860.10880,
221,RR A,0.5 g/L,0.183,11.52,34,180.40,1.90,1.12,33.11,32.44,195.34350,291.48359,
222,RR A,0.5 g/L,0.1753,11.33,34,121.40,2.00,1.43,34.33,33.36,93.85506,168.03645,
223,RR A,0.5 g/L,0.1514,11.24,31,63.00,1.94,0.97,32.02,31.63,375.93701,475.50958,
224,RR A,0.5 g/L,0.1733,11.64,31,35.00,1.80,0.64,35.55,36.00,45.05780,34.46797,
226,RR A,0.5 g/L,0.1817,11.24,35,59.90,1.91,0.89,36.22,34.63,30.02884,78.08891,
227,RR A,0.5 g/L,0.2055,12.22,33,76.20,1.79,0.73,34.01,34.63,113.85178,78.47664,
228,RR A,0.5 g/L,0.181,11.36,31,43.00,1.86,0.74,36.71,37.09,22.41872,17.87294,
229,RR A,0.5 g/L,0.2354,12.95,36,93.50,1.85,0.89,38.57,36.33,7.32789,28.26360,
231,RR A,0.5 g/L,0.3167,12.98,36,162.20,1.82,0.86,25.59,25.23,17817.79341,22142.92870,
232,RR A,0.5 g/L,0.2941,13.59,36,120.10,1.90,1.08,33.83,33.76,126.50294,131.91450,
233,RR A,0.5 g/L,0.2864,13.38,36,92.50,1.84,0.93,31.85,30.58,414.79777,892.37119,
234,RR A,0.5 g/L,0.2421,12.12,34,102.50,1.83,0.89,24.60,23.88,32350.98450,49899.79820,
237,RR A,0.5 g/L,0.194,10.62,31,83.60,1.88,0.97,33.43,33.19,160.60923,186.03147,
238,RR A,0.5 g/L,0.1723,10.7,29,69.00,1.81,0.76,35.16,36.05,56.76243,33.28682,
239,RR A,0.5 g/L,0.17,11.71,33,61.10,1.80,0.75,29.01,28.58,2287.48932,2958.50621,
240,RR A,0.5 g/L,0.3044,13.03,36,116.30,1.84,0.85,38.41,38.44,8.09534,7.94807,
243,RR D,0.5 g/L,0.1853,11.86,34,52.50,1.87,0.79,31.13,30.83,1176.78018,1426.76695,
244,RR D,0.5 g/L,0.1873,11.64,34,78.80,1.90,1.01,35.04,35.95,95.26850,53.15224,
245,RR D,0.5 g/L,0.1751,11.94,34,85.00,1.88,1.04,36.35,35.53,41.12541,69.56537,
246,RR D,0.5 g/L,0.151,10.48,29,69.00,1.82,0.86,34.81,35.02,110.67376,96.95587,
248,RR D,0.5 g/L,0.1744,11.53,33,52.20,1.83,0.89,35.12,34.40,90.82437,143.55749,
249,RR D,0.5 g/L,0.2535,13.09,38,105.10,1.89,0.96,29.42,29.26,3536.79320,3913.17087,
250,RR D,0.5 g/L,0.1594,10.56,31,77.60,1.82,0.83,30.61,31.37,1649.45004,1006.16871,
251,RR D,0.5 g/L,0.255,12.84,37,90.20,1.86,0.89,30.42,31.00,1856.89557,1278.26658,
253,RR D,0.5 g/L,0.1974,11.33,34,88.70,1.86,1.03,33.71,34.13,224.84006,171.36112,
254,RR D,0.5 g/L,0.211,12.39,33,191.50,1.85,0.95,32.57,32.62,465.26817,451.98872,
255,RR D,0.5 g/L,0.2815,12.71,38,174.10,1.77,0.82,34.48,37.03,137.12197,26.55760,
256,RR D,0.5 g/L,0.3454,13.7,38,212.50,1.77,0.80,35.85,35.55,56.90480,68.64190,
259,RR D,0.5 g/L,0.3115,13.26,37,207.20,1.80,0.85,23.90,22.91,122265.93859,231232.07986,
260,RR D,0.5 g/L,0.2175,12.48,35,112.30,,1.83,0.87,,42.23793,,
261,RR D,0.5 g/L,0.301,13.6,36,144.20,1.80,0.80,27.87,28.16,9540.60920,7957.29519,
262,RR D,0.5 g/L,0.2163,11.68,34,115.60,1.87,0.87,35.28,36.09,81.74052,48.65567,
288,RR G,0.75 g/L,0.184,13.16,37,159.747,1.863,0.997,33.16,32.86,80.48574,102.59197,
289,RR G,0.75 g/L,0.2997,13.03,38,105.271,1.962,1.244,33.29,33.70,73.00018,52.55765,
290,RR G,0.75 g/L,0.2097,12.08,35,116.455,1.923,1.114,34.04,33.45,40.20687,63.94510,
291,RR G,0.75 g/L,0.201,12.33,34,165.472,1.826,0.909,32.43,32.44,62.49164,61.59220,
293,RR G,0.75 g/L,0.2352,12.79,36,82.708,1.851,0.906,,,,,
294,RR G,0.75 g/L,0.1634,12.1,36,70.622,1.873,1.007,36.91,36.56,1.88079,2.47069,
295,RR G,0.75 g/L,0.1523,11.69,33,149.204,1.928,1.23,38.14,,0.71965,,
296,RR G,0.75 g/L,0.2802,13.91,35,198.396,1.882,1.041,35.16,36.36,7.37334,2.89773,
298,RR G,0.75 g/L,0.2465,13.1,36,144.733,1.868,1.004,36.78,,2.09628,,
299,RR G,0.75 g/L,0.2261,12.23,35,149.253,1.919,1.178,,35.75,,4.66349,
300,RR G,0.75 g/L,0.2472,13.58,36,87.249,1.855,0.938,29.46,27.68,633.69360,2528.59426,
301,RR G,0.75 g/L,0.1515,11.56,33,166.283,1.79,0.789,26.88,26.08,4745.29037,8871.70373,
304,RR G,0.75 g/L,0.3246,14.23,41,148.854,1.848,0.936,24.01,23.71,44624.66789,56354.97895,
305,RR G,0.75 g/L,0.2275,12.79,35,120.746,1.86,0.933,16.09,15.86,21507573.31821,25761787.60860,
306,RR G,0.75 g/L,0.1939,13.47,36,159.955,1.778,0.766,32.90,28.19,43.11956,1708.66106,
