pop,death_hr,survival,rep,FV3
SEWI,198,1,7,RV
SEWI,154,1,8,RV
SEWI,170,1,9,RV
SEWI,158,1,10,RV
TRLA,246,0,1,RV
TRLA,162,1,2,RV
TRLA,246,0,3,RV
TRLA,246,0,4,RV
TRLA,190,1,5,RV
TRLA,158,1,6,RV
TRLA,246,0,7,RV
TRLA,246,0,8,RV
TRLA,226,1,9,RV
TRLA,162,1,10,RV
TRLB,170,1,1,RV
TRLB,130,1,2,RV
TRLB,142,1,3,RV
TRLB,170,1,4,RV
TRLB,220,1,5,RV
TRLB,202,1,6,RV
TRLB,186,1,7,RV
TRLB,190,1,8,RV
TRLB,178,1,9,RV
TRLB,122,1,10,RV
TRLC,246,0,1,RV
TRLC,186,1,2,RV
TRLC,194,1,3,RV
TRLC,150,1,4,RV
TRLC,246,0,5,RV
TRLC,178,1,6,RV
TRLC,202,1,7,RV
TRLC,246,0,8,RV
TRLC,246,0,9,RV
TRLC,170,1,10,RV
TRLD,142,1,1,RV
TRLD,246,0,2,RV
TRLD,162,1,3,RV
TRLD,186,1,4,RV
TRLD,186,1,5,RV
TRLD,206,1,6,RV
TRLD,226,1,7,RV
TRLD,206,1,8,RV
TRLD,154,1,9,RV
TRLD,232,1,10,RV
TRLE,154,1,1,RV
TRLE,150,1,2,RV
TRLE,122,1,3,RV
TRLE,164,1,4,RV
TRLE,136,1,5,RV
TRLE,154,1,6,RV
TRLE,128,1,7,RV
TRLE,164,1,8,RV
TRLE,158,1,9,RV
TRLE,110,1,10,RV
TRLF,246,0,1,RV
TRLF,144,1,2,RV
TRLF,246,0,3,RV
TRLF,160,1,4,RV
TRLF,242,1,5,RV
TRLF,198,1,6,RV
TRLF,166,1,7,RV
TRLF,202,1,8,RV
TRLF,140,1,9,RV
TRLF,170,1,10,RV
TRLG,130,1,1,RV
TRLG,198,1,2,RV
TRLG,202,1,3,RV
TRLG,246,0,4,RV
TRLG,170,1,5,RV
TRLG,158,1,6,RV
TRLG,194,1,7,RV
TRLG,164,1,8,RV
TRLG,154,1,9,RV
TRLG,170,1,10,RV
TRLH,186,1,1,RV
TRLH,144,1,2,RV
TRLH,144,1,3,RV
TRLH,190,1,4,RV
TRLH,202,1,5,RV
TRLH,168,1,6,RV
TRLH,178,1,7,RV
TRLH,178,1,8,RV
TRLH,178,1,9,RV
TRLH,150,1,10,RV
TRLI,174,1,1,RV
TRLI,148,1,2,RV
TRLI,134,1,3,RV
TRLI,170,1,4,RV
TRLI,220,1,5,RV
TRLI,158,1,6,RV
TRLI,246,0,7,RV
TRLI,194,1,8,RV
TRLI,210,1,9,RV
TRLI,220,1,10,RV
TRLJ,246,0,1,RV
TRLJ,178,1,2,RV
TRLJ,166,1,3,RV
TRLJ,158,1,4,RV
TRLJ,140,1,5,RV
TRLJ,136,1,6,RV
TRLJ,186,1,7,RV
TRLJ,220,1,8,RV
TRLJ,186,1,9,RV
TRLJ,160,1,10,RV
BJA,246,0,1,CTRL
BJA,246,0,2,CTRL
BJA,246,0,3,CTRL
BJA,246,0,4,CTRL
BJA,246,0,5,CTRL
BJB,246,0,1,CTRL
BJB,232,1,2,CTRL
BJB,246,0,3,CTRL
BJB,246,0,4,CTRL
BJB,246,0,5,CTRL
BJC,246,0,1,CTRL
BJC,246,0,2,CTRL
BJC,246,0,3,CTRL
BJC,246,0,4,CTRL
BJC,246,0,5,CTRL
BJD,246,0,1,CTRL
BJD,246,0,2,CTRL
BJD,226,1,3,CTRL
BJD,246,0,4,CTRL
BJD,246,0,5,CTRL
BJE,246,0,1,CTRL
BJE,246,0,2,CTRL
BJE,246,0,3,CTRL
BJE,246,0,4,CTRL
BJE,246,0,5,CTRL
BJF,11,1,1,CTRL
BJF,246,0,2,CTRL
BJF,246,0,3,CTRL
BJF,246,0,4,CTRL
BJF,246,0,5,CTRL
BJG,246,0,1,CTRL
BJG,246,0,2,CTRL
BJG,246,0,3,CTRL
BJG,246,0,4,CTRL
BJG,246,0,5,CTRL
BJH,110,1,1,CTRL
BJH,246,0,2,CTRL
BJH,246,0,3,CTRL
BJH,246,0,4,CTRL
BJH,246,0,5,CTRL
BJI,246,0,1,CTRL
BJI,246,0,2,CTRL
BJI,246,0,3,CTRL
BJI,242,1,4,CTRL
BJI,246,0,5,CTRL
BJJ,246,0,1,CTRL
BJJ,246,0,2,CTRL
BJJ,246,0,3,CTRL
BJJ,246,0,4,CTRL
BJJ,246,0,5,CTRL
GRVA,246,0,1,CTRL
GRVA,202,1,2,CTRL
GRVA,246,0,3,CTRL
GRVA,246,0,4,CTRL
GRVA,246,0,5,CTRL
GRVB,246,0,1,CTRL
GRVB,246,0,2,CTRL
GRVB,246,0,3,CTRL
GRVB,246,0,4,CTRL
GRVB,246,0,5,CTRL
GRVC,246,0,1,CTRL
GRVC,246,0,2,CTRL
GRVC,246,0,3,CTRL
GRVC,246,0,4,CTRL
GRVC,246,0,5,CTRL
GRVD,246,0,1,CTRL
GRVD,246,0,2,CTRL
GRVD,246,0,3,CTRL
GRVD,246,0,4,CTRL
GRVD,246,0,5,CTRL
GRVE,246,0,1,CTRL
GRVE,246,0,2,CTRL
GRVE,246,0,3,CTRL
GRVE,246,0,4,CTRL
GRVE,246,0,5,CTRL
GRVF,246,0,1,CTRL
GRVF,246,0,2,CTRL
GRVF,246,0,3,CTRL
GRVF,246,0,4,CTRL
GRVF,246,0,5,CTRL
GRVG,246,0,1,CTRL
GRVG,246,0,2,CTRL
