ind,species,population,death_hr,survival,FV3,NH4_ugL,SRP_ugL
22,WF,TRL,289,0,CTRL,0.000432898,5.59476E-05
231,WF,TRL,289,0,CTRL,0.000352711,4.78716E-05
257,WF,TRL,289,0,CTRL,0.000512616,5.82765E-05
121,WF,TRL,289,0,CTRL,0.00034107,6.83247E-05
79,WF,TRL,289,0,CTRL,0.000478232,7.35184E-05
101,WF,TRL,289,0,CTRL,0.000357077,7.03075E-05
51,WF,STB,289,0,CTRL,0.000516252,0.000102905
267,WF,STB,289,0,CTRL,0.000500728,0.000168146
149,WF,STB,289,0,CTRL,0.00066927,0.000101496
55,WF,STB,289,0,CTRL,0.000452416,8.29658E-05
106,WF,STB,289,0,CTRL,0.000488912,7.32093E-05
254,WF,STB,289,0,CTRL,0.000484288,4.93422E-05
185,WF,STB,289,0,CTRL,0.001128364,0.000152657
142,WF,STB,289,0,CTRL,0.000542612,0.000106266
94,WF,STB,289,0,CTRL,0.00055643,0.000103883
161,WF,STB,289,0,CTRL,0.000422214,8.39689E-05
166,WF,SEW,289,0,CTRL,0.000606702,7.47561E-05
122,WF,SEW,289,0,CTRL,0.000502417,9.5207E-05
224,WF,SEW,289,0,CTRL,0.00018626,4.43183E-05
44,WF,SEW,289,0,CTRL,0.000320177,6.85244E-05
33,WF,SEW,289,0,CTRL,0.000177039,4.19921E-05
144,WF,SEW,289,0,CTRL,0.000478654,6.70094E-05
216,WF,SEW,289,0,CTRL,0.000517991,7.53954E-05
239,WF,SEW,289,0,CTRL,0.000393377,0.000150645
147,WF,SEW,289,0,CTRL,0.00036114,4.56949E-05
130,WF,SEW,289,0,CTRL,0.000471191,0.000134212
114,WF,MIN,289,0,CTRL,0.000444076,4.97435E-05
256,WF,MIN,289,0,CTRL,0.000368059,8.17411E-05
227,WF,MIN,289,0,CTRL,0.000418786,1.66593E-05
249,WF,MIN,289,0,CTRL,0.000430669,4.71218E-05
270,WF,MIN,289,0,CTRL,0.000334427,5.47344E-05
265,WF,MIN,289,0,CTRL,0.000560879,0.000139255
102,WF,MIN,289,0,CTRL,0.000579303,0.000105124
54,WF,MIN,289,0,CTRL,0.000316439,6.29893E-05
180,WF,MIN,289,0,CTRL,0.000473478,4.91052E-05
228,WF,MIN,289,0,CTRL,0.000313277,4.12725E-05
170,WF,RR,289,0,CTRL,0.000689487,9.14255E-05
46,WF,RR,289,0,CTRL,0.000451639,6.12149E-05
43,WF,RR,289,0,CTRL,0.00067223,0.000119077
240,WF,RR,289,0,CTRL,0.000591045,9.88526E-05
112,WF,RR,289,0,CTRL,0.000575632,0.000109941
20,WF,RR,289,0,CTRL,0.000499303,6.86366E-05
36,WF,RR,289,0,CTRL,0.000669627,8.20032E-05
223,WF,RR,289,0,CTRL,0.000383329,0.000107424
140,WF,RR,289,0,CTRL,0.000576231,0.000104825
132,WF,RR,289,0,CTRL,0.000749737,0.000163531
108,WF,SQR,289,0,CTRL,0.000373261,6.3286E-05
191,WF,SQR,289,0,CTRL,0.000313209,0.000149947
143,WF,SQR,289,0,CTRL,0.000335949,6.59577E-05
67,WF,SQR,289,0,CTRL,0.00043732,8.34331E-05
260,WF,SQR,289,0,CTRL,0.000550098,0.000149442
164,WF,SQR,289,0,CTRL,0.000320185,0.000116547
38,WF,SQR,289,0,CTRL,0.000256857,4.03876E-05
19,WF,SQR,289,0,CTRL,0.00050685,0.000102872
127,WF,SQR,289,0,CTRL,0.000418849,5.10446E-05
119,WF,SQR,289,0,CTRL,0.000362366,4.89077E-05
81,Toad,Toad,289,0,CTRL,0.000740243,3.76098E-06
18,Toad,Toad,289,0,CTRL,0.000504191,3.21742E-06
198,Toad,Toad,289,0,CTRL,0.000983439,1.33144E-05
236,Toad,Toad,289,0,CTRL,0.000808397,2.29502E-06
219,Toad,Toad,289,0,CTRL,0.000776008,1.60322E-06
276,Toad,Toad,289,0,CTRL,0.00088763,1.63067E-06
93,Toad,Toad,289,0,CTRL,0.000915187,4.92496E-06
178,Toad,Toad,289,0,CTRL,0.000526345,2.52562E-06
187,Toad,Toad,289,0,CTRL,0.000794363,4.03111E-05
30,Toad,Toad,289,0,CTRL,0.000806028,2.10011E-06
87,Chorus,Chorus,289,0,CTRL,0.000244471,8.37575E-05
117,Chorus,Chorus,289,0,CTRL,0.000263015,7.75705E-05
14,Chorus,Chorus,289,0,CTRL,0.000112754,4.09394E-05
160,Chorus,Chorus,289,0,CTRL,0.000636345,8.7959E-05
90,Chorus,Chorus,289,0,CTRL,0.000786038,0.000203237
189,Chorus,Chorus,289,0,CTRL,0.000141371,4.99573E-07
141,Chorus,Chorus,289,0,CTRL,0.000547904,0.000104103
73,Chorus,Chorus,289,0,CTRL,0.000441913,6.56362E-05
182,Chorus,Chorus,289,0,CTRL,0.000262536,1.96072E-05
152,Chorus,Chorus,289,0,CTRL,0.001014562,0.000115019
207,Pickerel ,Pickerel ,289,0,CTRL,0.000401161,0.000135039
11,Pickerel ,Pickerel ,289,0,CTRL,0.000412712,0.000136607
53,Pickerel ,Pickerel ,289,0,CTRL,0.000151232,3.9254E-05
23,Pickerel ,Pickerel ,289,0,CTRL,0.000406883,2.48653E-05
104,Pickerel ,Pickerel ,289,0,CTRL,0.000150321,5.39493E-05
111,Pickerel ,Pickerel ,289,0,CTRL,6.03501E-05,1.70799E-05
237,Pickerel ,Pickerel ,289,0,CTRL,0.000177755,3.35443E-05
77,Pickerel ,Pickerel ,289,0,CTRL,0.000269634,6.94754E-05
146,Pickerel ,Pickerel ,289,0,CTRL,6.2713E-05,2.84204E-05
156,Pickerel ,Pickerel ,289,0,CTRL,0.000154045,2.8457E-05
